dni;nombreapellido;telefono;email;fechanacimiento;profesor;bibliotecario;direccion;localidad_cp
50437998;Leandra Anna Malo Alba;(598) 451-5865;uraeus@mac.com;1984-12-08;FALSE;FALSE;7943 S. Fifth Street;Bergenfield, NJ 07621
33519921;Severo Granados Iglesia;(869) 771-1487;bhima@me.com;1986-08-12;FALSE;FALSE;77 Lyme Street;Hermitage, TN 37076
39304945;Lucho Andreu Amat;(246) 245-7306;psichel@sbcglobal.net;1990-04-16;FALSE;FALSE;9448 Fairfield St.;Aberdeen, SD 57401
31143134;Matías Mauricio Castillo Barrera;(707) 933-2513;tbeck@optonline.net;1996-12-02;FALSE;FALSE;8143 College St.;Trussville, AL 35173
29791343;Mauricio Guijarro Castelló;(612) 325-0216;eegsa@yahoo.ca;1984-05-14;FALSE;FALSE;9893 W. Vale Ave.;Billings, MT 59101
40125704;Isaura Leyre Avilés Pelayo;(992) 564-5230;barlow@verizon.net;1987-04-18;FALSE;FALSE;8094 Albany Drive;Poughkeepsie, NY 12601
28322364;Soraya Morera-Lago;(651) 544-1246;wkrebs@me.com;1990-11-27;FALSE;FALSE;9001 Creek Street;Lawrence, MA 01841
49708376;Victoriano Tapia-Cabanillas;(851) 782-6044;dleconte@outlook.com;1981-03-06;FALSE;FALSE;57 Green Drive;Fair Lawn, NJ 07410
22180163;Nidia Saez Campoy Perez;(265) 609-6654;flakeg@verizon.net;1980-04-28;FALSE;FALSE;86 Surrey St.;Kennewick, WA 99337
53977862;Teófila Villanueva Molina;(305) 491-4988;slaff@icloud.com;1987-01-04;FALSE;FALSE;8728 Boston Street;Rego Park, NY 11374
36120606;Trini de Alberdi;(561) 649-7485;uncle@hotmail.com;1990-12-04;FALSE;FALSE;45 Heritage Ave.;Fall River, MA 02720
54360889;Dani Perez;(966) 735-9451;vsprintf@hotmail.com;1977-10-20;FALSE;FALSE;9334 Hillside Street;Grand Blanc, MI 48439
34212054;Angelina de Arregui;(711) 282-2848;chinthaka@yahoo.ca;2000-02-21;FALSE;FALSE;611 Academy Street;Dalton, GA 30721
47495416;Samuel de Perez Carranza;(337) 397-0627;ntegrity@optonline.net;1999-05-16;FALSE;FALSE;7201 Mill Street;Marcus Hook, PA 19061
38722600;Jacinta Montenegro Garcés;(969) 383-4277;yangyan@yahoo.ca;1994-03-13;FALSE;FALSE;59 Ridgewood Ave.;Reynoldsburg, OH 43068
52542464;Lisandro Delgado Nadal;(748) 495-1748;ilyaz@me.com;1980-04-18;FALSE;FALSE;270 West Green Lake St.;Louisville, KY 40207
34388561;Samanta Manjón Godoy;(494) 813-5651;njpayne@hotmail.com;1980-03-03;FALSE;FALSE;9481 S. Chestnut St.;Morristown, NJ 07960
51276607;Albano Teodosio Cañete Rosa;(779) 217-3175;ralamosm@gmail.com;1981-04-04;FALSE;FALSE;7 N. Annadale Street;Eugene, OR 97402
43630275;Abel Perez;(904) 204-2255;bartak@sbcglobal.com.world;1988-06-12;FALSE;FALSE;88 Pheasant Rd.;Bridgeton, NJ 08302
42745048;Bienvenida Pulido Cózar;(932) 307-3409;improv@me.com;1994-01-21;FALSE;FALSE;8 Galvin Street;Seymour, IN 47274
40647907;Patricio Manzano Pomares;(993) 960-7653;arnold@live.com;1979-07-01;FALSE;FALSE;9 Marconi Road;Eastpointe, MI 48021
42512358;Modesto de Casares;(611) 927-0572;ismail@comcast.net;1975-12-13;FALSE;FALSE;8842 Old Van Dyke Ave.;Nanuet, NY 10954
24330360;Berto de Perez Morales;(283) 384-7846;wilsonpm@aol.com.cl;1987-10-30;FALSE;FALSE;471 S. Cambridge Drive;Fairborn, OH 45324
24170565;Nuria Daniela Jáuregui Tejero;(677) 875-1069;barjam@icloud.com;1979-07-02;FALSE;FALSE;9 Military Dr.;Yuba City, CA 95993
37899545;Anastasia Pedrero Solera;(886) 929-9282;michiel@msn.com;1986-08-29;FALSE;FALSE;8388 Pheasant Street;Powder Springs, GA 30127
45441870;Purificación Salomé Ferrán Valero;(596) 660-5408;gamma@hotmail.com;1984-09-29;FALSE;FALSE;221 Dogwood Dr.;El Paso, TX 79930
23189905;Melania Cobos Lozano;(768) 242-5793;dhrakar@live.com;1989-04-15;FALSE;FALSE;911 Charles St.;East Lansing, MI 48823
27707706;Evangelina Font Lago;(483) 388-3044;themer@icloud.com;1978-03-26;FALSE;FALSE;176 Henry Smith Ave.;Westland, MI 48185
35085564;Otilia Mercader Jimenez;(525) 814-4351;leocharre@me.com;1986-06-21;FALSE;FALSE;323 1st St.;Salt Lake City, UT 84119
42460596;Nadia Reyes-Bosch;(872) 458-4785;kewley@icloud.com;1997-03-14;FALSE;FALSE;8127 Pawnee Lane;Pikesville, MD 21208
26277528;Mireia Córdoba Pi;(600) 318-8808;murdocj@mac.com;1993-10-21;FALSE;FALSE;7813 Helen Ave.;West Springfield, MA 01089
39318620;Melisa Rueda Rosado;(437) 406-2974;webinc@msn.com;1970-09-28;FALSE;FALSE;353 Canterbury Dr.;Mahwah, NJ 07430
52804015;Trini Sanabria-Frías;(615) 712-3381;mrsam@yahoo.ca;1989-05-22;FALSE;FALSE;61 Addison Dr.;Park Forest, IL 60466
30251597;Lucía Manola Briones Jove;(651) 742-1141;sassen@aol.com;1993-11-28;FALSE;FALSE;810 West Mill St.;Westfield, MA 01085
31903799;Natalio Pereira Barrio;(517) 690-8580;emmanuel@att.net;1970-09-19;FALSE;FALSE;51 Mayfair Court;Dothan, AL 36301
54254271;Nerea Alcalde Solé;(616) 766-2111;naoya@mac.com;1984-02-03;FALSE;FALSE;840 Oak Meadow Ave.;Klamath Falls, OR 97603
27247581;Gracia Goicoechea Alba;(685) 726-6159;slanglois@hotmail.com;1980-12-10;FALSE;FALSE;257 Pheasant Drive;Hialeah, FL 33010
28156526;Toño Hidalgo Blázquez;(737) 772-3449;improv@comcast.net;1988-11-24;FALSE;FALSE;30 N. Park Avenue;Howard Beach, NY 11414
49213727;Cándida Sedano Jiménez;(876) 612-6879;noneme@me.com.ar;1981-04-16;FALSE;FALSE;850 School St.;Wheaton, IL 60187
22478170;Eutimio Barreda Cobos;(669) 791-3350;majordick@yahoo.com;1999-05-09;FALSE;FALSE;59 Atlantic Ave.;Gallatin, TN 37066
39997661;Rosario Yuste Falcón;(642) 368-4225;rgiersig@verizon.net;1986-06-24;FALSE;FALSE;74 Broadway;MILTON KEYNES
24117384;Encarnacion Español Ocaña;(953) 901-9132;smartfart@aol.com;1985-03-25;FALSE;FALSE;MK9 3EN;21 Mill Road
32177936;Magdalena Vilaplana Esteve;(869) 720-8135;jmgomez@verizon.net;1991-09-26;FALSE;FALSE;CREWE;CW90 4ZA
32299209;Adelardo Novoa;(319) 633-9396;msherr@yahoo.com;1985-06-12;FALSE;FALSE;674 High Street;CANTERBURY
27744227;Adoración Rovira Zabala;(731) 945-6687;keutzer@sbcglobal.net;1977-10-25;FALSE;FALSE;CT76 6OB;10 Richmond Road
32743598;Ovidio Lamas;(435) 742-6743;policies@sbcglobal.net;2000-03-09;FALSE;FALSE;DUNDEE;DD84 2WJ
38981639;Reyes Julián Nogués;(684) 330-1830;hwestiii@verizon.net;1978-04-07;FALSE;FALSE;35 The Crescent;SOUTH EAST LONDON
49980782;Adoración Jurado Clemente;(843) 248-6284;hstiles@mac.com;1976-12-08;FALSE;FALSE;SE42 3UM;44 School Lane
48841165;Plácido Zabala Feijoo;(390) 565-9213;xnormal@gmail.com;1979-01-19;FALSE;FALSE;DONCASTER;DN36 9AT
26012522;Abel Alex Cueto López;(951) 953-8812;jgmyers@icloud.com;1974-09-07;FALSE;FALSE;94 The Avenue;BRIGHTON
48400708;Miguela Sanmiguel Paz;(516) 909-2316;oechslin@aol.com;1976-04-12;FALSE;FALSE;BN0 6LJ;290 Albert Road
47700469;Narcisa Villaverde Montes;(833) 629-5357;juerd@outlook.com;1998-11-17;FALSE;FALSE;STOCKPORT;SK35 8CV
29010703;Leonardo Aller Bermúdez;(260) 680-9015;skippy@icloud.com;1971-09-16;FALSE;FALSE;96 The Green;WATFORD
25007700;Javiera Bartolomé Torrens;(724) 882-6713;meinkej@hotmail.com;1992-06-15;FALSE;FALSE;WD65 4RB;9950 Queen Street
24241207;María Carmen de Fuster;(663) 750-6940;staffelb@aol.com;1973-08-28;FALSE;FALSE;WAKEFIELD;WF81 5TB
45501913;Adán Fonseca Marin;(325) 631-2099;heckerman@optonline.net;1970-09-16;FALSE;FALSE;30 Main Road;NORTH WEST LONDON
43051305;Adalberto de Fabra;(594) 787-2465;rjones@verizon.net;1989-12-23;FALSE;FALSE;NW96 2RV;9896 New Road
39288388;Rosalinda Jaume Romero;(720) 491-3517;parrt@verizon.net;1985-07-25;FALSE;FALSE;SHREWSBURY;SY49 2YJ
39946089;Abigaíl Enríquez Carreras;(735) 587-8913;hampton@icloud.com.it;1987-04-18;FALSE;FALSE;26 North Road;EAST CENTRAL LONDON
40881210;África Perez-Morcillo;(295) 530-5752;claypool@comcast.net;1999-02-21;FALSE;FALSE;EC18 9MF;146 Church Lane
45550716;Gilberto Cárdenas-Esparza;(306) 906-7975;wsnyder@live.com.ar;1976-03-16;TRUE;FALSE;LLANDRINDOD WELLS;LD87 1KV
26429602;Marisela Posada Jover;(452) 597-0784;magusnet@aol.com;1991-05-21;FALSE;FALSE;70 Green Lane;KILMARNOCK
41579796;Begoña Claudia Coello Zabaleta;(363) 441-6561;danneng@optonline.net;1971-05-11;FALSE;FALSE;KA97 3AD;9645 Queensway
49203737;Marcos Arregui Sainz;(550) 890-6346;smallpaul@aol.com;1977-04-10;TRUE;FALSE;ROCHESTER;ME97 9GF
40669670;Venceslás Sastre Peñalver;(906) 421-7305;staikos@optonline.nl;1978-09-03;FALSE;FALSE;5 Kingsway;WARRINGTON
39291450;Febe Amaya;(977) 707-4772;bryam@outlook.com;1980-07-12;FALSE;FALSE;WA48 9PQ;512 Stanley Road
43612409;Quirino Granados Verdugo;(871) 218-8630;ccohen@optonline.net;1992-12-19;FALSE;FALSE;BIRMINGHAM;B2 0LA
53806013;Imelda de Perea;(522) 326-9656;geoffr@aol.com;1977-11-09;FALSE;FALSE;3 Church Street;CARLISLE
52986425;Isidora de Crespi;(924) 599-2856;kludge2@comcast.net;1980-02-09;FALSE;FALSE;CA46 0YA;12 George Street
28829617;Balduino Martin Águila;(998) 710-2563;frikazoyd@att.net;1992-10-22;FALSE;FALSE;REDHILL;RH45 1LV
47498803;Casandra Ramírez Canet;(319) 810-1693;singer@comcast.net;1976-09-18;FALSE;FALSE;2 Manchester Road;SWANSEA
25768228;Eustaquio Vigil Gil;(794) 504-1808;rogerspl@aol.com;1973-03-28;FALSE;FALSE;SA65 3HD;84 North Street
23948550;Elvira del Espinosa;(493) 999-4390;danzigism@yahoo.ca;2000-04-12;TRUE;FALSE;DUDLEY;DY65 3GJ
26320333;Pía Huertas Manzanares;(804) 655-0207;empathy@att.net;1972-02-17;FALSE;FALSE;9112 St. John’s Road;WALSALL
40673451;Alberto Salas Báez;(554) 800-9842;jrifkin@mac.com;1991-08-19;FALSE;FALSE;WS53 7IY;19 Church Road
45967481;Sol Rosales Calvo;(548) 446-1387;sagal@icloud.com;1982-08-07;FALSE;FALSE;SOUTH WEST LONDON;SW65 0GH
26095364;Guiomar Folch Sanjuan;(517) 369-6486;durist@sbcglobal.net;1984-12-08;FALSE;FALSE;76 South Street;NORWICH
45468565;Nidia Pardo-Nuñez;(893) 798-8990;msloan@msn.com;1989-07-05;FALSE;FALSE;NR38 3VK;73 Grove Road
49184191;Emperatriz Sabina Pastor Pedrero;(504) 719-6268;ilikered@mac.com;1974-02-03;FALSE;FALSE;SHEFFIELD;S39 0KU
52479222;Ximena Jurado-Mata;(295) 508-7243;tlinden@live.com;1994-04-09;FALSE;FALSE;92 Park Avenue;WOLVERHAMPTON
41162579;Eugenio Aranda Falcón;(940) 762-9096;citizenl@yahoo.ca;1998-04-05;FALSE;FALSE;WV82 8AJ;53 King Street
29640375;Felicia del Palomo;(370) 597-5412;pajas@yahoo.com;1985-08-14;FALSE;FALSE;COVENTRY;CV96 4TX
47766835;Abel Uribe Cerro;(996) 458-0103;british@me.com;1990-06-16;FALSE;FALSE;58 Highfield Road;BLACKBURN
48791935;Andrés Felipe Prado-Infante;(223) 934-8344;chaffar@aol.com;1993-03-22;FALSE;FALSE;BB91 5XM;20 West Street
27663420;Jordi de Perea;(611) 728-9360;parkes@hotmail.com;1997-01-02;FALSE;FALSE;OUTER HEBRIDES;HS33 0PY
52627239;Ricarda Escrivá Cervera;(446) 436-2416;sjava@yahoo.ca;1971-02-27;TRUE;FALSE;82 Windsor Road;PERTH
